geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00001	20415	16913	12994	14052	19511	3957
gene-SAOUHSC_00002	15907	12118	11103	12018	14938	2090
gene-SAOUHSC_00003	1573	1190	829	1322	973	120
gene-SAOUHSC_00004	13797	11362	9834	7550	6659	845
gene-SAOUHSC_00005	29448	26350	24097	12054	12085	3501
gene-SAOUHSC_00006	44658	32949	31728	18806	12336	3973
gene-SAOUHSC_00007	6866	4746	4619	3515	5001	1207
gene-SAOUHSC_00008	2724	2273	2089	1186	1855	296
gene-SAOUHSC_00009	2215	1845	1241	40328	78096	13364
gene-SAOUHSC_00010	185	160	130	2083	4586	264
gene-SAOUHSC_00012	158	136	125	1146	2744	294
gene-SAOUHSC_00013	1079	1135	825	4607	8863	1907
gene-SAOUHSC_00014	4473	3355	3406	6895	8800	1161
gene-SAOUHSC_00015	25589	21715	22266	20817	25751	5778
gene-SAOUHSC_00017	6365	5530	5659	5249	6510	1047
gene-SAOUHSC_00018	11628	10303	8660	14317	19514	6297
gene-SAOUHSC_00019	6846	6178	6773	8549	5201	3215
gene-SAOUHSC_00020	3697	3493	2573	3920	6009	927
gene-SAOUHSC_00021	12014	10398	8109	11337	13124	6173
gene-SAOUHSC_00022	12793	10887	8987	10253	12045	1983
gene-SAOUHSC_00023	9470	7810	7269	6832	8128	2076
gene-SAOUHSC_00024	2421	1436	1576	1291	1042	364
gene-SAOUHSC_00025	1662	1146	1226	1006	1384	658
gene-SAOUHSC_00026	381	235	345	63	50	16
gene-SAOUHSC_00027	1271	1141	872	1254	2124	677
gene-SAOUHSC_00028	2	3	3	2	0	5
gene-SAOUHSC_00029	5	7	16	53	105	13
gene-SAOUHSC_00030	1288	951	977	2335	3910	296
gene-SAOUHSC_00031	28513	18043	29772	1781	2030	300
gene-SAOUHSC_00032	50	27	126	18	35	18
gene-SAOUHSC_00033	14131	9391	16116	1370	1051	141
gene-SAOUHSC_00034	3620	2730	3229	308	292	15
gene-SAOUHSC_00035	24714	16412	25494	945	384	37
gene-SAOUHSC_00036	46857	32717	48482	2033	1102	273
gene-SAOUHSC_00037	45354	29625	42786	8585	8161	3315
gene-SAOUHSC_00038	222	172	125	175	132	14
gene-SAOUHSC_00039	2837	2465	1822	3179	4109	1988
gene-SAOUHSC_00040	19	15	17	20	41	6
gene-SAOUHSC_00041	647	513	497	409	561	57
gene-SAOUHSC_00042	346	216	250	385	499	42
gene-SAOUHSC_00043	173	94	95	97	133	24
gene-SAOUHSC_00044	1860	1297	1516	728	911	58
gene-SAOUHSC_00045	100	62	117	240	445	64
gene-SAOUHSC_00046	394	306	339	457	684	27
gene-SAOUHSC_00047	559	323	390	443	888	44
gene-SAOUHSC_00049	2504	1678	1902	2372	3212	329
gene-SAOUHSC_00050	1475	895	1194	928	1294	111
gene-SAOUHSC_00051	369	172	194	459	671	195
gene-SAOUHSC_00052	169	96	118	85	143	18
gene-SAOUHSC_00053	241	169	219	192	363	28
gene-SAOUHSC_00054	390	283	294	250	409	44
gene-SAOUHSC_00055	533	358	420	314	457	37
gene-SAOUHSC_00056	2739	2181	1847	3367	5017	465
gene-SAOUHSC_00057	544	500	376	758	916	279
gene-SAOUHSC_00058	941	663	600	1187	1883	400
gene-SAOUHSC_00060	1762	1382	1822	2104	1768	757
gene-SAOUHSC_00061	1813	1230	1192	1672	2409	716
gene-SAOUHSC_00062	82	28	49	18	21	3
gene-SAOUHSC_00064	138	89	99	217	237	26
gene-SAOUHSC_00065	351	282	255	1671	1998	308
gene-SAOUHSC_00067	5273	3818	3741	6051	7531	2164
gene-SAOUHSC_00069	2179	2279	1508	9028	5121	890
gene-SAOUHSC_00070	364	261	305	952	1059	50
