# Program:featureCounts v1.4.6-p3; Command:"/usr/local/bin/subread-1.4.6-p3-Linux-x86_64/bin/featureCounts" "-p" "-t" "gene" "-g" "ID" "-T" "16" "-s" "1" "-a" "results/counts/gencode.gff" "-o" "results/counts/SRR10379721.txt" "results/mapping/SRR10379721_aligned.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRR10379721_aligned.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	20275
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	15761
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1563
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	13734
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	29291
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	44446
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	6826
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	2697
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	2193
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	180
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	155
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1065
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	4446
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	25447
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	6330
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	11556
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	6811
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	80
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	369
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3638
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	11930
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	12709
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	9425
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	2402
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1631
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	375
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	1258
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	2
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	5
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	1275
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	28288
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	49
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	14002
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	3596
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	24557
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	46588
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	45065
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	223
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	2867
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	18
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	639
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	340
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	168
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	1847
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	90
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	391
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	554
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	2477
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	1459
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	362
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	168
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	234
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	376
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	531
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	2728
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	537
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	930
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	1739
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	1796
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	77
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	134
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	345
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	5244
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	2128
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	358
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	4147
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	547
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	770
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	281
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	405
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	890
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	594
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	882
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	1247
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	632
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	1149
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	1286
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	11
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	71
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	112
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	5113
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	3
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	80
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	48
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	114
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	102
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1106
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	4023
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	70647
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	1888
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	83
